130,23,-40,0
190,21,-146,-90
152,33,-171,-90
130,33,-171,-85
116,33,-187,-80
51,18,-217,-90
-25,74,-197,-90
22,58,-203,-90
-75,80,-202,-90
-57,40,-204,-90
-53,21,-187,-90
-128,20,-130,0
-128,20,-75,0
-128,20,-22,0
-138,56,-131,0
-138,56,-74,0
-138,56,-21,0
-147,19,54,0
-55,53,156,90
-31,53,156,90
-8,53,156,90
-31,70,167,90
-33,11,186,90
51,18,175,90
96,38,-19,0
91,37,-49,10
69,30,-71,40
47,25,-75,55
23,30,-73,90
0,34,-57,130
-9,39,-28,170
-4,35,-1,200
18,31,23,235
41,24,29,-90
68,30,21,-60
87,34,3,-20
54,87,-24,0
217,38,-85,-90
256,38,-85,-90
218,59,-107,-90
-118,36,189,70
-134,43,187,80
211,46,139,-45
202,47,183,-60
243,55,136,-20
-160,139,47,-90
-160,204,-82,-90
-164,231,-45,-90
-191,86,-213,90
-192,70,-29,90
-192,62,98,90
-175,27,-197,0
