59,0,0,0,0,0,0
59,0,5,0,0,0,0
59,0,-5,0,0,0,0
59,0,15,0,0,0,0
138,0,15,0,0,0,0
154,0,15,0,0,0,0
172,0,15,0,0,0,0
190,0,15,0,0,0,0
138,0,-10,0,0,0,0
154,0,-10,0,0,0,0
172,0,-10,0,0,0,0
190,0,-10,0,0,0,0
360,0,15,0,0,0,0
372,0,15,0,0,0,0
384,0,15,0,0,0,0
396,0,15,0,0,0,0
360,0,-10,0,0,0,0
372,0,-10,0,0,0,0
384,0,-10,0,0,0,0
396,0,-10,0,0,0,0
470,0,15,0,0,0,0
470,0,-7,0,0,0,0
520,0,-7,0,0,0,0
520,0,0,0,0,0,0
520,0,7,0,0,0,0
520,0,15,0,0,0,0
560,0,0,0,0,0,0
560,0,7,0,0,0,0
560,0,-7,0,0,0,0
560,0,15,0,0,0,0
